family_rank,content_hash,copies,repeated_instances,repositories,minimum_size_bytes,maximum_size_bytes,representative_repo,representative_path
1,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,1148,1147,853,11,11,0317wu/scam-detecto,scam-detector-app/CLAUDE.md
2,a54ff182c7e8acf56acfd6e4b9c3ff41e2c41a31c9b211b2deb9df75d9a478f9,955,954,540,9,9,012e/thesis,benchmarks/CLAUDE.md
3,824ff185530c3abe61e28be0f570d44cb3aedd08293d708fb84529a93c9c59f5,917,916,127,43,43,0ui-labs/chat-exporter,apps/server/CLAUDE.md
4,67da10a2206ee4898ab705c1a2634b2cb3bbccc98b8ebf240fd0e61e3c961896,452,451,171,169,169,07kamrul/SCMS,.claude/prds/CLAUDE.md
5,918b1c90559355ef78f33fdf3562f2b021ef8bdfd8a5c8415e5decd44934de55,336,335,204,10,10,0xcaffebabe/note,doc/CLAUDE.md
6,d5e4344ce656c1ace295e105360176bc5d82deb8104198fdf99c00223ac2ddcf,170,169,99,376,376,AbdallahJbeli/safety_dashboard_app,.junie/skills/firebase-basics/references/refresh/claude.md
7,954ec5dad7eaf581ad4bfa090369b244ac0120b43722ef2efff5ba89fc52046f,151,150,85,10,10,4shil/AiraBot,gateway/server-methods/CLAUDE.md
8,42fbbc9d55ee0d149c90e4bf93abe8b7278a5482b232be6f5bfc59cc0465e694,122,121,40,13,13,aaron-vaz/dotfiles,claude/.claude/CLAUDE.md
9,4321ba53b426588037f0b9eaa0dfbe0b5e8753dfac878a5fc97ea30e9420a3eb,111,110,105,6,6,0ctane6/abyss,CLAUDE.md
10,62281d49e4523e9e2c12dc660a185308bfd945532291538dc7542bb92ba81a82,109,108,101,6,6,crestalnetwork/intentkit,CLAUDE.md
11,573138e19d3359c451b7898112a03167e4e7bf356ecd698dc87d933d37de0b96,93,92,29,24,24,aboodic/-abdullah-bin-julayyil,jupyterlab/CLAUDE.md
12,ec31d1fbbe66c22e681db1eb7c6ee74efcb4c4daa329f664d1d020820446381f,91,90,3,10,10,bullishoptionstrat-hub/GMG-vs1,.agents/skills/agent-browser-clawdbot/CLAUDE.md
13,cc2da1f2864c187cb5e6ec0d82fd80d6e0842ea5bcdc36a5d89b52b51f8be5ae,79,78,55,185,185,aayushmishraaa/AI-Voice-Assistant,CLAUDE.md
14,d495cfc301e259d7b8894d46e0298ad31c347393b0f99e90445d32c821c293d8,71,70,9,13,13,AmbireTech/extension,.claude/CLAUDE.md
15,017c859049e821875b65bdf2aef31833bcf7e4c8be0df8c86b687adc3b10150b,69,68,53,155,155,a3x113619-spec/huddle-landing-page-with-single-introductory-section-master--1-,huddle-landing-page-with-single-introductory-section-master/CLAUDE.md
16,79909577a70fc4971a7fcfd3cbec6a1af7182ca2dadc87f2979dce5e28f93ca0,60,59,51,12,12,ahliweb/geo-first,upstream/awcms-micro/awcmsmicro-dev/.claude/CLAUDE.md
17,da7b191e399e6cdc24630510d792d7204948a56c817c85cbed183c6c2fb871c6,56,55,9,44,44,enuno/moltbot-philosopher,docs/plans/CLAUDE.md
18,d631d88045f74623d568adfb4783b72e3d1b732330d749bc6c72e6648d4581d3,52,51,49,12,12,4CMarketingNmims/4C-Website,CLAUDE.md
19,8c13f234431e045c83864443f2103933b95624b6108fc03cc07eca7a674bccf2,49,48,22,15,15,acrossai-co/acrossai-model-manager,claude.md
20,64d5f17558172237642000e6e6853aafcc7cbe48b569659ff3682c2e73ebb6f0,47,46,40,4353,4353,404TradeOS-LLC/TradeOScostbook,packages/knowledge-engine/agent-skills/skills/loki-mode/CLAUDE.md
21,b74992671a8d728bd9a2dd7929fb42165e3300d270dbbe168a7e87556e784e5a,47,46,2,6054,6054,hadrianbelove-stack/new-release-wall,museum_legacy/_archive/legacy/_sync_tmp_20250829-213156Z/NRW_SINGLE_HANDOFF_20250827-213055 2/CLAUDE.md
22,71b1b91c9a0e9b7431c4147e90e08682a89c684598568dca93a52a3f38d5886d,45,44,44,469,469,abhishekraj007/dating-ai,packages/backend/CLAUDE.md
23,0e95f5a3666031d6fac42bc6ca698b40b61648f4974c8ec355181ed4888c5c26,42,41,37,8,8,aboio-labs/aboio-skills,skills/pg-gleam/CLAUDE.md
24,f041bf5d84479949f54517c536d98dd5980f6feb046f54c978c8baf7b609045f,41,40,41,8,8,adityahimaone/hermes-agent-rtk-caveman,config/CLAUDE.md
25,60e4be3c0b82bc209c2c4c4cc3b94956c85c45c56d7556c005c71eac03948625,40,39,1,14,14,Butanium/sarcasm-persona-exploration,experiments/exp_001_phase1_replication/judging/batch_001/CLAUDE.md
26,e06feb4376ccb361d9feb9114ac86866b8e49b523465a22e5695507b104a51aa,40,39,1,42,42,Mioframe/mioframe,src/app/CLAUDE.md
27,b68ca998270fea887cb7a812fc1913477148c5523a4ab60a6d3bbf6684d151e2,39,38,17,380,380,ABHISHEKPATEL8839/familyManagement,agent/skills/firebase-basics/references/refresh/claude.md
28,61b9c472e858f50aa55ff78af76e8b78acb9e6fe57bea0962f9489b60135f5a0,36,35,36,41,41,app-sre/hcm-ai-playground,CLAUDE.md
29,e0b8575f59e7017fd17b7f34c38b5c173208445f52ca1bd4b46e2d5506f2f957,36,35,35,106,106,Alex-stack-hub/myres,vllm-ascend/CLAUDE.md
30,b54baa2af52ef5bd6f6185fb61f527dcab1a6fd300020a286620dbe942f02155,36,35,1,6999,6999,hasna/connectors,connectors/airbrake/CLAUDE.md
31,99254c312dd5a965beb039da36b18009b533d710e281180a4ba7a8919931e0d7,35,34,34,34,34,AaronWander/ZoneSpy,.claude/CLAUDE.md
32,7b50d15feae7b63b94d845b2fa6e19e3220527c5b0cac69303b7fc19bd7484a8,35,34,32,14,14,akefirad/dotfiles,home/dot_claude/CLAUDE.md
33,d29d38346bbb483bd54c06aaff5879b95ed1ea1d87d9ade4f1aa14fa6794b06c,34,33,2,19,19,GeunhwaJeong/haneul-fixxxxx,crates/haneul-default-config/CLAUDE.md
34,cac90f5821a0d1e823052d884d54341e827f9859179cfcc1a7799e1a7846591f,32,31,26,2455,2455,aaronmrosenthal/RyCode,packages/ry-code-landing/CLAUDE.md
35,0f797514752e311fcdce4cec59ce14a3feccbf704cbddff351051e503f805c7f,32,31,1,182,182,microsoft-foundry/foundry-samples,samples/csharp/hosted-agents/agent-framework/a2a/01-delegation/executor/CLAUDE.md
36,d4a92fcdefec90f1613c73c0621c95bc251aaa41a1be7297b2cae1a2d868c78e,30,29,1,1445,1445,917135271/blackbox-eval,runs/gate3_development/ccb-baseline/DEV-001/workspace/CLAUDE.md
37,ec31d0c4b0f7ff3a50af95ed93c842f480dfc5881560e1a15c019a8d53927942,29,28,2,103,103,alisonaquinas/markdownlint-obsidian,packages/CLAUDE.md
38,927c28f4e6832dbb90a7acb40355c1d03326b5651e2f440319241bcb17143828,29,28,1,36,36,liferay/liferay-portal,workspaces/clarity-solution-workspace/.claude/CLAUDE.md
39,5d04fb717c7b325bc82576f9f55a9d404cb243736c0d1a846a8767cac1019284,27,26,19,471,471,aayush-p-singh/ConcordOS,next-app/CLAUDE.md
40,eca12c0a30e25b4b46522ebf89465a03ba72a03f540796c979137931d8f92055,27,26,9,15,15,Atry/hpcnc,CLAUDE.md
41,aa170881be075885cbe1e173bd234fb526cd3f4606331d254fd6eca690c6ff6f,26,25,15,303,303,arareal/zara-server-backup,openclaw/workspace/skills/email-send/CLAUDE.md
42,349f639941cf83c69f419a971169f4c6cd034b5d1c2efb07dc4e0d87ac457d25,25,24,23,2525,2525,Adam-S-Daniel/GHA-bench,results/2026-04-17_004319/tasks/16-environment-matrix-generator/typescript-bun-opus47-1m-medium/generated-code/CLAUDE.md
43,56122bf2bc62d49fec4ea0f355bb000cabef2e3968778b50c05ec23c978a695b,25,24,10,12,12,argondev22/template.utils,.claude/CLAUDE.md
44,8691fe2e5e599b31bf6a1818819a8d2b58360cd4817fa440950599584e6eaa23,25,24,7,170,170,ArgentAIOS/argentos-core,dashboard/src/hooks/CLAUDE.md
45,aef277fb6a70a89681a85e1b6d23f44ee2a6cc58490f9f5c95fc99db6d2d3542,25,24,1,10,10,shibuiwilliam/archfit,packs/agent-tool/fixtures/P2.SPC.010-negative/input/CLAUDE.md
46,d87444662b2b8d1a3659630dd5219c04ba0a020a5625aa7ba52cac7d270b9c56,23,22,23,41,41,adrelanos/onion-grater,CLAUDE.md
47,c1e87407ce72f38b645f627c7fbda6e6999170c840cded6ce82c1bd2c10923e8,23,22,19,8,8,abilashraghuram/arrakis,cintegrity/CLAUDE.md
48,3988160539b1a36046128147103eade231accf48248b79720f3a7cce086f4aeb,23,22,18,37,37,AlexSkrypnyk/deploy_steps,CLAUDE.md
49,0644dd065f1167959a157648a420d64756963fef47df8584968c0003dbce56ed,22,21,22,21078,21078,0xzgbot/forge-nps-v01,hermes_home/profiles/live/skills/creative/popular-web-designs/templates/claude.md
50,1fd1e3eae1752364ed7ba2f25f7a6eb14fc9e3cb1384e7ab57a78aad4c530b09,22,21,1,18,18,lckx777/copy-chief-black,framework/commands/CLAUDE.md
51,6e4fdc251e4688521e73d1ab0a32c03697c24397da99345f8471600207a2b7a1,21,20,3,66,66,GeoloeG-IsT/agents-reverse-engineer,src/ai/providers/CLAUDE.md
52,5e71c3b6392f45b0f9d2c3717be2a2ec9b941d7a3b60f9514d8e547479e025a8,20,19,20,12,12,9dsn/SANSight,frontend/CLAUDE.md
53,96b50a52ff45e0d84725dc287a7c9ca5b8b4239d4446effb122a5b54b46e53bf,20,19,18,2277,2277,Anamaris22-pixel/scafi-angular,scafi-app-nuevo/.claude/CLAUDE.md
54,19a6a6e065728eb4d26a06c8a842cfc4009e7f50c780f7fc57091af60f01d852,20,19,9,28,28,BrianColclough/config,.config/nvim/CLAUDE.md
55,86115a2062f58a628f151261f7335071270a050f3e6e8a7d986df368cd5c7e67,19,18,19,38,38,dryvist/.github,CLAUDE.md
56,8052c9be8eed0a1eaaa5713a557abab63855a04ef54335c3982e00f717cace2a,18,17,18,20,20,chriskrycho/dotfiles,home/.claude/CLAUDE.md
57,13285a5fd29ed8e73d122d3630397ada4bcda9971d5dd88d968ac9156114d762,17,16,17,13,13,AbiyaMakruf/TelU-FinalProject-DiffuseKronA-KecerdasanBuatanGeneratifPadaVisiKomputer,HuggingFace_Diffuser/CLAUDE.md
58,694a2d721e41c385f3db492838c23299826df5ba9809e3b0721aac70021e196a,17,16,17,2357,2357,beierweiwei/project-templates,skills/rust/CLAUDE.md
59,946e40acef7b4ebc52727dbf35aa73e96b1d2972f0ad2977ff4fc4194ef1d32e,17,16,17,12,12,alukacs03/clauntainerlab,docs/CLAUDE.md
60,c520bd3d32c539d03bee5772bfe84ceacf71b6bc77f0fb39cede1feec0696221,17,16,17,10323,10323,Anas2338/AI-Native-Development,30-Day-challenge/calculator/CLAUDE.md
61,8186f51773f663c8da0d26a2403c1e13947d35a2e491dc296499977a33cf3062,17,16,14,4793,4793,asimons81/hermes-vault,launch-video/CLAUDE.md
62,227c2c26cb2ee0ce0f46a320fc48fbcbdf21801a57f59161b1d0861e8aad55f5,17,16,12,31,31,A-Mundanilkunathil/Home_Assistant,CLAUDE.md
63,76bd26db2ecc9f6bc5bbed09323b77c4d0c3594ec0f2d39ef1f2d5b0bd8dfb17,17,16,9,9981,9981,bioinfcomav/bioinfcomav.github.io,pop_lab/pop_delimit_practice/CLAUDE.md
64,dbfec62ab652ff1014cf72310231c16dbb548f4434582da34abc5e9d9be9961d,17,16,7,170,170,FayazK/eFinance,resources/js/pages/dashboard/expenses/partials/CLAUDE.md
65,144dae0335563bd33fef1c03e7e24c570a4d9ecc7bc66526ebc1c8cf118463dc,16,15,16,41,41,bearyung/jpm,CLAUDE.md
66,82ad2273f109d471047b616012d0aa859e6d34ddcc033bdcd6e4f3caebf1f23b,16,15,16,2748,2748,Abhiman1206/obsidian-prism,antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/dbos-python/CLAUDE.md
67,d2a17c0be7103e630bc8955d900380397935043b17a9a4d734989871431a6e5a,16,15,16,2606,2606,Areo-Joe/chrome-acp,packages/proxy-server/CLAUDE.md
68,45964d7171942305b5edb1354526b25179deb557856facfb7a6c5b839ebaee21,16,15,15,1512,1512,BaryshevRS/angular-auto-import,src/e2e/projects/v21/CLAUDE.md
69,b975643f22bdcdba0bf2c383a4f57cf37582c90cf13b5ee0d4b83f0a5c35dff3,16,15,15,613,613,26mitch26/ai-mall,.claude/skills/model-overlays/claude.md
70,d2f2237008f98b73e69e6c3adba229f3cc63f9dd623dd473e42bb3a6a60cba4f,16,15,15,1850,1850,AlexBramall/claude-code-skills,engineering/autoresearch-agent/CLAUDE.md
71,5f9dfd7e8306dfcc7bebacff0c4aad8c361cbb961769d352cf38cd0b9459dc72,16,15,13,12,12,Dog-Du/DogBot,CLAUDE.md
72,446a120c728da506c27f306f191b2b53415611dd796468eaf3e4d860d749c2c6,16,15,12,1568,1568,Michaelunkai/01,Platforms/windows/autohotkey/mymainahk/claude.md
73,0716240e9ab35fca6390562fac2ed598c51b845216582c7eb002a12a0fb1e453,16,15,1,49,49,ReinaMacCredy/maestro,.claude/CLAUDE.md
74,91cf05d376eb80d56854c64998aded884b9b8d8e0111cd09b46fa40f4c5d1721,16,15,1,3458,3458,917135271/blackbox-eval,runs/gate2_domain_enhancement/codex/workspace/CLAUDE.md
75,75a6617dfc90ccb973efccf37da5ee751e730c096c4b8770c765ca34fc56bac0,15,14,15,59275,59275,abhishekmmgn/didactic-invention,.agents/skills/gstack/CLAUDE.md
76,4a1730a42ba03b5043f4452bfb4911d08f760c6615adf159124c6f343aa0d78e,14,13,14,111,111,Ahmaddu-w/aledoyassignment,icons/docs/content/icons/claude.md
77,70231b956e7f9335ec83966d4bcd7196f98195c1e005069a275c3ea6d41244db,14,13,14,15,15,benjam3n/reasoningtool,claude-code-plugin/plugins/reasoningtool/CLAUDE.md
78,d9546c041aeb8454917ae522465f1b948dbb255f7abfbeb7a5c2f15a0cf6a03f,14,13,14,13,13,ExplainableML/finer,train/LlamaFactory/CLAUDE.md
79,db72195b77c551ecea357ebec91123c12d4ae06d8c9131d824ca8e70fd05816d,14,13,14,34,34,adriantech17/snake-game,CLAUDE.md
80,6dfc08d76a93f001dcf22640b3cd83b1277b55ac108ad09e8688b5c0f143b51c,14,13,3,42,42,tri-star/review-evaluator,CLAUDE.md
81,20015e99f016644d777021b3492e4a70cf867ce0b3861820f95140ea7ca15b91,14,13,1,3653,3653,gtynnn060110-hash/Continual-Skill-Bench,tasks/finance-econ-independent-trials/finance-econ-ind-007/environment/skills/skills-finance/CLAUDE.md
82,1ca18108547308258fb08b69ec6f6f73bdea8be07c15a7d52b0eb7f888f15e32,13,12,13,5,5,bengous/vex,CLAUDE.md
83,5a00c167ac42aec36f1ad70bec68984b299fbc9fd72df7448b39377f155d8e7a,13,12,13,21,21,andeart/dotfiles,claude/CLAUDE.md
84,fb9e8c753e3d59154c7d4798347cab57e3f918115a4c7c1bcd8ec78a342eaec7,13,12,13,20,20,k0xxi/helgus-mp,claude.md
85,45dd45f7d83603ab0887fa74036f3eeee2b658265eb361074c8159da79a0d97d,13,12,12,16,16,AnythingDevelopmentTeam/emcl,apps/labrinth/CLAUDE.md
86,4c8b738f2c576771391b54566e3f49a22a7c295cfb620a1fb82d854e7f9e9009,13,12,7,3282,3282,CASTvivian/local-ai-platform,generated/hyperframes/hf_20260418_050032/CLAUDE.md
87,402c25b7db97c66138ce72a273234db16cc91a04970fadb61e1b32d27879736b,13,12,6,343,343,elixpo/art.elixpo,CLAUDE.md
88,57fb3525fdbafa568fc54ecdc37fbf00f94ccf3d9e86a0f3b83397b3242718f9,13,12,2,45,45,AinoVaiori/Vivunity_Ikon_Hackathons,CLAUDE.md
89,d1923e4f4a7e88ba7dfe60c9c4b0eebea49c9a91f33cdd795c53eafcff95f6c4,13,12,1,33,33,didi/mpx,packages/api-proxy/CLAUDE.md
90,d49097bad54477df6af9da3382b6356d702603c770ee195e6502521918c6256e,13,12,1,27,27,reporails/rules,agents/codex/rules/codex-reads-agents-override-md-first-then-agents-md-then-fal/tests/fail/CLAUDE.md
91,35a0f66a6531e61b35dc7288884da35eeef79ad1039f5ffdfd29295cee8d566e,12,11,12,2356,2356,adityasingh3305/New-folder,claude.md
92,8aa741fad39565a134698d168ccbb2ff448311cf1b78de32e490b42f81336afd,12,11,12,45,45,CollectionBuilder/cb-essay,CLAUDE.md
93,ab52717cdb042f7b54f1d427598d7a24375f34cbd02f0726e0bd21ac7112b368,12,11,12,1045,1045,dgcor/columns-cj,dependencies/physfs4cj/physfs/CLAUDE.md
94,c60fb640cc5d88eead967976774766376538a671396ff329610b8ea9dedf4c83,12,11,12,23,23,0xIntuition/intuition-advanced-template,CLAUDE.md
95,1f39d317f2417649a7a29a1f98a220be0cdce47fa3f896c4fa565eaee9f150cf,12,11,11,2676,2676,Alhwyn/cursorcraft,agent/CLAUDE.md
96,6ef25d14db9650c17286089ae53e0e35060310e7b833778c3f4a197772ec64e3,12,11,11,2728,2728,404TradeOS-LLC/TradeOScostbook,packages/knowledge-engine/knowledge-engine/agent-skills/skills/dbos-typescript/CLAUDE.md
97,5cf946a1513f0af1962011a89b81a0c7c7f3cc7269c2bf53a5ffa20027c548d0,12,11,1,19,19,reporails/rules,core/content/agent-neutral-main-file/tests/pass/CLAUDE.md
98,00fdc492ec69aee80ce6ca4b7d871f3489ba9ca561d3b684fd42849813b8e418,11,10,11,2560,2560,Anlide11/claude-skills,self-improving-agent/CLAUDE.md
99,074d6a73cdf58fc100691ec0e79890ee64fb184ed8d0c758b794a1d2b8cd9296,11,10,11,14,14,AdityaShukla06/PatchNote,CLAUDE.md
100,3b2c8a6a80fe79fa9ee0680b86d2e84ce0b9255d3dc43eccd4e2fce59064c7da,11,10,11,30,30,Boshen/cargo-shear,CLAUDE.md
101,3fb003703cc0f4d545e60d4edfada10c299ba87c0e1697a6c041e9aa4fd29c6d,11,10,11,1157,1157,AnhadMahajan/figma-mcp,src/everything/CLAUDE.md
102,b335630551682c19a781afebcf4d07bf978fb1f8ac04c6bf87428ed5106870f5,11,10,11,9,9,Automattic/workspace,claude.md
103,d15d92b6ca9048f2f676892741642fcbffb1167992a5842410377689f3383ddf,11,10,11,27,27,collindutter/dotfiles,.claude/CLAUDE.md
104,d7fee82d6af5b4476a1effabf1ea9ffde6ce9822d39c7f8ab4a2218bd4e51d3f,11,10,11,19,19,camercu/dotfiles,common/.config/claude/CLAUDE.md
105,2c2771844870919b5f731a59873d6cb6292474428e5bac3d0ae616e6d685bca1,11,10,10,10,10,abarisic1509/file-to-md,CLAUDE.md
106,25e8c0c583fa6b731e5a78d73f3c92ae976494159f9c99447d1c47c7b8de9724,11,10,9,1566,1566,Michaelunkai/ai-and-machine-learning,Artificial_Intelligence/cli/claudecode/wrappers/ClawdBot/B/claude.md
107,9e3196c31de562defaa6bc7de1168f8cce324f70a582aec5463d009d5448b7ad,11,10,9,217,217,Alamator/claude-memory,plugin/CLAUDE.md
108,4863956410993e5353f6656f6a682091f413e20016c2f61231e35e8057ac936a,11,10,3,22,22,CaptainEv1dence/dr-context,tests/fixtures/workspace-discovery/CLAUDE.md
109,79659fa518caa7c50626dc8a269639316c91544d8f5a2542d66dc6b23dfb5eda,11,10,2,51,51,Hugopeck/archeia,evals/archeia-output/arq/colocated-agents/arq/claude.md
110,10e9cf61b605fcd66a3cf1598eca73c527d1ca766f5369acf7a2d3d2c1154abc,10,9,10,1312,1312,ArogyaReddy/hesreallyhim-awesome-claude-code,resources/claude.md-files/Comm/CLAUDE.md
111,1dfa9a9748c8ef9234ae5bfbbc70a1622262270e9344ee8c9fa21e178c9ff159,10,9,10,30,30,adrienkohlbecker/dotfiles,claude/.claude/CLAUDE.md
112,71ee0214f05718c02e1467d9a1298e28f3d0ffec92b51a37c8d82c11a3325d5b,10,9,10,41,41,chsanch/rust-learning-path,CLAUDE.md
113,a83ab75cc77bea260150ed248df4fce33da8f00429e0b68b75fab95f3c1f2812,10,9,10,1253,1253,formal-verif-is-cool/verus-spec-gym,adapters/adebench/src/adebench/task-template/environment/CLAUDE.md
114,fd8808bc7dabbaf565ee605cc0dd36b052c04ec64432050014c9713fed14a93b,10,9,10,903,903,sunamo/SunamoCollectionOnDrive,SunamoCollectionOnDrive/CLAUDE.md
115,96551edde417b4530d83ebe23fa729ce6fdd19fa9ff891ee9d57ae852b597fcf,10,9,9,25,25,arya2876/69Game,CLAUDE.md
116,01d0e31122b5f0ee6dcc355aa4b683b7855baf7c3dcadab915997fd9f2864967,10,9,8,39,39,amh22/hello-agent-web,CLAUDE.md
117,f448d73ccaac3a8d93879456ef6df1a6a581df973e1cff64f00371f5629dcb76,10,9,7,17,17,boatnoah/notedown,CLAUDE.md
118,75e4df8f31cedb68ea73b39b26ccdae4123d6387107ac5258d64fc7599d97798,10,9,5,15,15,y-marui/python-closed-template,CLAUDE.md
119,4f6dafa0b3e6ffb9ef76d1ffc0a285f4d72060ea26a1470cd9bc1f470b319542,10,9,1,348,348,Jarkius/The-Oracle-Construct,src/core/db/CLAUDE.md
120,7f7cdd62d481cee1f59352e8931f099559eef3e9c72a244c13ac093d23c22af6,10,9,1,3402,3402,Kaastor/reinforcement-learning,1-foundational/Policy-Value-Iteration/app/CLAUDE.md
121,8dafa383a822d1fac7efa06c917550b650893e8080d0678fde6e4f2397c77453,10,9,1,343,343,joemccann/dillinger,app/api/dropbox/callback/CLAUDE.md
122,0219893114cffdca49a82278557e22dd6684217c1956b4f59648221be029f26f,9,8,9,15,15,AntiJudolTeam/AntiJudol,CLAUDE.md
123,38a1085f3a53b4027ff2e96fad50daa2c372c17f5fcf0f973298316435e2ead1,9,8,9,20,20,ishanjmukherjee/dotfiles,claude/.claude/CLAUDE.md
124,42f07735bc82c71528738693fd023a72727f13b8cfb32458ff8440219d6fd559,9,8,9,46,46,AllenInstitute/MIES,CLAUDE.md
125,47925f9e19f42cca2cb853cd259b980d59587bff456b5d7c067f4ac2a2818336,9,8,9,1588,1588,ArogyaReddy/hesreallyhim-awesome-claude-code,resources/claude.md-files/DroidconKotlin/CLAUDE.md
126,6ea0491eba549586fb9aca1201a7fa69ea123d75816c1cd4244dbc57f523abb8,9,8,9,105,105,0Mart00/DiogeOwnAiAgent,free-claude-code/CLAUDE.md
127,8b03007a63ed11629a31de5b41b9870b5b89d1fb45f9168b6de90e047eaf46fd,9,8,9,339,339,ellisnet/CodeBrix.Compression,CLAUDE.md
128,9c74aef65b5f2a19f790c081a0a8b84df275f6191c6e4ead57207d748fe54839,9,8,9,304,304,aviralMadhvan24/Suraksha-chain,frontend/CLAUDE.md
129,a506e967214a4232351de066516c88ab42c5adc2d7638c3fb2001b985f9c319b,9,8,9,1755,1755,aharoldk/notifhook,CLAUDE.md
130,abb8050a4272e0b1c5f2edf5a744cedf8026a89c361dc121e54a872a1922f25d,9,8,9,2195,2195,abhasgawali/SurgePricingEngine,CLAUDE.md
131,b3a908ad8282365346d86cc570d59d43626ae276adeb96adfaaee10ddf0212b4,9,8,9,183,183,1154761334/it-bidding-copilot,frontend/packages/model-runtime/CLAUDE.md
132,54b40543869b7ef56d7de47d0384d0c3f9db115a39472c398972904caf9b984d,9,8,8,22,22,alex-1121/glyph-matrix-lab,CLAUDE.md
133,98937111944378f074f31608340066abad87b15de8fc37defc41f4735c0688ca,9,8,8,660,660,chrisnowlin/pocket_musec,archive/reports/CLAUDE.md
134,adf2fa755d210b4cf5162e9c1bf4da2c229629028a8515b3ef1462b63658c4a8,9,8,8,41,41,Clemo97/speeed,.agents/skills/powersync/CLAUDE.md
135,afc9a777c1592f715762fd03927b6c8bbc11ab35c10154f98c9635ec9964cce4,9,8,8,14,14,AlvinPlayz23/codestate,CLAUDE.md
136,aa45e7abc63bf84d09a5921d6c9357d6958e627d39261edb451908afdcf2ecaa,9,8,7,28,28,agent37-platform/docs,CLAUDE.md
137,b425803a38be3166e2df4d46bffd7b1856cebc76e6e2beed52f4b78da2623f31,9,8,7,139,139,aimanhaziqmy/Grafana-Custom-App,CLAUDE.md
138,bfccbdf5df3c29b20dc0ab719cc279ba9cdee8d7d29ab59c5b73b6b29411fc3c,9,8,6,3861,3861,Michaelunkai/ai-and-machine-learning,Artificial_Intelligence/cli/claudecode/claude.md
139,465c94fdb2fb825874a10cc97ee2bd2299cbfe05753e1e2ed04f5a4ea3e42bd5,9,8,4,66,66,AshDax/sec_scrapper_agent,.scripts/agent-integration-tests/CLAUDE.md
140,79d959361efae11ed3f883fd75a3786c1daf7a617f520ca2bca357e03bde7f64,9,8,4,234,234,big-gates/agent-md-template,en/kmp-library/CLAUDE.md
141,a1fb4db828e0963adc9bbd848cc90f66a4231420f4db7bc20006bb470020ac9d,9,8,2,2032,2032,adrianco/retort,experiments/adrianco/experiment-1/runs/language=go_model=sonnet_tooling=beads/rep2/CLAUDE.md
142,04984adf8497fcde802ecbd884c67ffbc090a862f5b0e75c6b6a489e8fc541df,9,8,1,441,441,mind-protocol/serenissima,rialto_cascade-platform/ponte-di-rialto_landing_page/MerchantPrince/.cascade/memories/CLAUDE.md
143,ad2cf1b79c72b8919c55c05e35255f7e9cd99203cddb8a6679f73e8438ae14d7,9,8,1,27,27,guilhermenovais/e-mobiliaria,src/main/java/com/guilherme/emobiliaria/config/infrastructure/repository/CLAUDE.md
144,dfea842ebab3285ec12b45409445a8d3e6700788a8b25626a065286f62d38da5,9,8,1,440,440,mind-protocol/serenissima,san-marco_consciousness-architecture/cistern-house_citizen-memory-cascade/sala-dei-legami_memory-association-chamber/.cascade/skills/CLAUDE.md
145,10d82d2377dc4ac1a254fa2ff6e2f0a83925e9ca9ee1b0768165e14642ff3442,8,7,8,14,14,alexzh3/CafeTwin,CLAUDE.md
146,25a6b485a4cb2e9cc2d0db33873911eb732f453d276436cc6a7873ecd61a69c1,8,7,8,471,471,Abdssamie/convex-directory,packages/backend/CLAUDE.md
147,31a6af6b44c1fa8d823ec6e04035485322122950faa231d6726db6b48e4e1b61,8,7,8,15,15,ANcpLua/ANcpLua.Analyzers,src/ANcpLua.Analyzers/CLAUDE.md
148,3bb8f03a899a4a70c12bfa261aa2d7b119f2b417df72ebc8bdf1b7b7a6c70b02,8,7,8,2299,2299,ashutoshrathi0909-oss/everything-claude-code,docs/zh-CN/CLAUDE.md
149,3c510e14ea8dcb89105b1c1184fd5269c3bc2cad75f3091cd6572756d3eed170,8,7,8,51871,51871,anthropics/claude-for-legal,litigation-legal/CLAUDE.md
150,5a5dea5c30a7a1f3cf08084d8d965fd2cae6df9b9b88510ca0369193d2cc3809,8,7,8,19,19,akitorahayashi/mms,.claude/CLAUDE.md
151,5d762940dda84737926c7de813464c5699bc7c37d4074e43a68d37c8f61b69e1,8,7,8,4917,4917,apvlv/dub,packages/hubspot-app/CLAUDE.md
152,71b54be03dac9499c39f1ea380db139fec412a008e40b1824f82057ffd6b2a14,8,7,8,410,410,Case-Engine-LLC/podcast-bocaratoncaraccidentlawyer,src/app/CLAUDE.md
153,78747c347774be2d58da0cf9cab554a42eff73bc28ad156c0cc5f812051beaab,8,7,8,139,139,couchbaselabs/showfast2,cbperf-showfast-app/CLAUDE.md
154,7eaf6fef0a66c9a5366cba520efbfa7b7867b04f9bce73d412afecbd69b016ea,8,7,8,7,7,dandye/ai-runbooks,CLAUDE.md
155,81fca22c1b37def27bfea782e5569890d05e49f9481bdf09b397174961cdadec,8,7,8,11571,11571,cocyuhao/ai-dev-tooling-research-archive,claude-code-templates/cli-tool/templates/python/examples/flask-app/CLAUDE.md
156,86f36a8520114d3117c9e9c43e3dc35d192028dbc03117811c97d31eaff3eecc,8,7,8,379,379,Abhinavexists/claude-config,skills/scripts/skills/lib/workflow/formatters/CLAUDE.md
